pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
K2-239 b,K2-239,3.85787E+18,3.85787E+18,374339566,,160.5941265,4.4413751,14.632,12.17010141,10.781,8.319101406,9.971,7.509101406,12.2352,13.545,13.4367,10.97480141,32.12902544,-21.15181541,0.985905111,Gaia,3420,4.9,-0.1,0.4,0.36,M3.0 V,-1.79588,,,,,31.072752,31.05676842,31.09137917,1.10487473,LO,0.028318318,5.24,1.1,1.4664,K2,2018,K2
WASP-104 b,WASP-104,3.8686E+18,3.8686E+18,393495970,,160.6023689,7.4350768,11.779,5.444113746,10.36,4.025113746,9.882,3.547113746,11.0658,11.567,11.5931,5.258213746,5.364122899,29.19487,0.798330486,Gaia,5475,4.503,0.32,1.076,0.963,G8,-0.18964,3,2,-2,,184.9171753,184.2448425,185.5369873,0.942038536,LO,0.094949096,1.7554137,12.745,1.76208,SuperWASP,2014,WASP
WASP-197 b,WASP-197,7.34156E+17,7.34156E+17,85266608,,160.6307133,28.1986255,11.565,3.220449291,10.316,1.971449291,10.017,1.672449291,10.8583,,11.2369,2.892349291,2.092727173,-9.897554398,0.521013379,Gaia,6050,3.9,0,1.36,2.112,,0.77067,2.6,1.5,-1.5,,466.5628357,462.1948853,471.7294922,0.99257046,LO,0.127887771,5.167228,14.44837612,5.9764524,SuperWASP,2025,WASP
Qatar-9 b,Qatar-9,1.04811E+18,1.04811E+18,149918151,,160.748095,60.9641194,14.023,7.381994763,11.835,5.193994763,11.104,4.462994763,12.9178,,13.6871,7.046094763,4.663310152,2.537333488,1.043718576,Gaia,4309,4.61,0.252,0.719,0.696,K5 V,-0.82102,7.5,4.5,-4.5,,212.9124451,212.36026,213.4197083,0.998279631,LO,0,1.540731,11.309881,1.8672,Qatar,2019,Other
TOI-2524 b,TOI-2524,3.80258E+18,3.80258E+18,169249234,,160.8868435,-1.9126984,12.8,4.626225077,11.557,3.383225077,11.198,3.024225077,12.1772,,12.6225,4.448725077,2.285360675,9.715716362,1.50532043,Gaia,5831,4.344,0.06,1.007,1.119,,0.11628,6.7,1.7,-1.6,,431.2756958,428.5653076,434.3666382,1.142305732,LO,0.085754514,7.18585,11.2089807,4.2542613,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
K2-402 b,K2-402,3.86529E+18,3.86529E+18,393548451,,161.451913,6.419318,13.032,4.620165703,11.746,3.334165703,11.377,2.965165703,12.3928,12.874,12.836,4.424165703,2.045326691,-17.73549461,2.918576241,Gaia,5716,4.197,-0.378,0.944,1.28,G2,0.2095,,,,,481.245697,477.3210449,484.8501892,0.960902452,LO,0.05653172,17.27474,2.678,5.2,K2,2022,K2
KELT-11 b,KELT-11,3.7615E+18,3.7615E+18,55092869,HD 93396,161.7069053,-9.3993646,8.04,3.048044087,6.616,1.624044087,6.122,1.130044087,7.3212,,7.83112,2.839164087,10.00493471,35.01388168,0.122500457,Gaia,5375,3.7,0.17,1.44,2.69,G8/K0 IV,0.74429,,,,,99.63024139,99.39614868,99.80940247,0.982030034,LO,0.115967371,4.73620865,15.13212395,7.1,KELT-South,2017,KELT
K2-398 c,K2-398,3.80903E+18,3.80903E+18,281660552,,161.7349738,1.9367044,13.287,4.411235741,12.034,3.158235741,11.717,2.841235741,12.6036,12.991,13.0091,4.133335741,1.642409004,7.949187279,2.572012424,Gaia,5946,4.227,-0.257,0.945,1.239,G2,0.25966,,,,,595.8718262,588.1802979,602.3700562,1.188366532,LO,0.096605957,18.787839,5.098,4.7,K2,2022,K2
K2-398 b,K2-398,3.80903E+18,3.80903E+18,281660552,,161.7349738,1.9367044,13.287,4.411235741,12.034,3.158235741,11.717,2.841235741,12.6036,12.991,13.0091,4.133335741,1.642409004,7.949187279,2.572012424,Gaia,5946,4.227,-0.257,0.945,1.239,G2,0.25966,,,,,595.8718262,588.1802979,602.3700562,1.188366532,LO,0.096605957,6.393025,2.274,3.7,K2,2022,K2
TOI-5398 c,TOI-5398,7.50889E+17,7.50889E+17,8260536,,161.8795569,36.3294345,10.059,4.47535487,9.026,3.44235487,8.713,3.12935487,9.58055,,9.98233,4.39868487,7.619022547,-9.946721077,0.304137141,Gaia,6000,4.44,0.09,1.146,1.051,G V,0.11725,0.65,0.15,-0.15,7.34,130.8365326,130.6111298,131.0666199,0.817281425,LO,0.063032806,4.77271,3.52,3.127,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
