pl_name,hostname,ra,dec,sy_vmag,sy_jmag,sy_kmag,st_teff,st_logg,st_met,st_age,st_ageerr1,st_ageerr2,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
Kepler-157 b,Kepler-157,291.0972257,38.8756049,14.206,12.939,12.573,5774.0,4.389,-0.0593,7.59,1.96,-1.83,1.732342,1.32,2.186,Kepler,2014,Kepler
Kepler-157 c,Kepler-157,291.0972257,38.8756049,14.206,12.939,12.573,5774.0,4.389,-0.0593,7.59,1.96,-1.83,13.5405,2.24,4.514,Kepler,2014,Kepler
Kepler-122 d,Kepler-122,291.1118647,39.9490248,14.403,13.173,12.826,6050.0,4.299,-0.08,7.94,1.18,-1.18,21.587475,2.2,4.683,Kepler,2014,Kepler
Kepler-122 f,Kepler-122,291.1118647,39.9490248,14.403,13.173,12.826,5917.0,4.35,-0.08,7.94,1.18,-1.18,56.268,1.75,8.114,Kepler,2014,Kepler
Kepler-122 b,Kepler-122,291.1118647,39.9490248,14.403,13.173,12.826,6050.0,4.299,-0.08,7.94,1.18,-1.18,5.766193,2.34,3.846,Kepler,2014,Kepler
Kepler-122 c,Kepler-122,291.1118647,39.9490248,14.403,13.173,12.826,6050.0,4.299,-0.08,7.94,1.18,-1.18,12.465988,5.87,5.063,Kepler,2014,Kepler
Kepler-122 e,Kepler-122,291.1118647,39.9490248,14.403,13.173,12.826,6050.0,4.299,-0.08,7.94,1.18,-1.18,37.993273,2.6,7.155,Kepler,2014,Kepler
Kepler-75 b,Kepler-75,291.1376203,36.5773443,15.414,13.665,13.118,5200.0,4.5,0.3,6.2,3.5,-2.8,8.8849116,11.77,2.0778,Kepler,2013,Kepler
Kepler-1733 b,Kepler-1733,291.1384628,37.8592447,15.612,14.346,13.981,6320.0,4.347,0.24,0.2,1.1,-1.1,9.229579926,3.63582354,2.235,Kepler,2021,Kepler
Kepler-1106 b,Kepler-1106,291.1451576,44.0624715,14.863,13.6,13.234,6104.0,4.35,0.0,3.09,1.73,-1.36,1.252752174,1.65,2.0755,Kepler,2016,Kepler
KOI-142 b,KOI-142,291.1481028,40.669413,13.209,11.882,11.454,5466.0,4.528,0.27,1.6,1.4,-1.4,10.91647,3.438,3.6496,Kepler,2013,Kepler
Kepler-694 b,Kepler-694,291.1495269,40.4204569,15.284,13.882,13.493,5700.0,4.47,0.0,4.07,3.85,-2.37,6.365841612,2.8,2.9697,Kepler,2016,Kepler
Kepler-901 b,Kepler-901,291.1528056,40.8876814,15.85,12.753,11.907,4184.0,4.7,-0.3,3.8,5.19,-2.12,3.517494394,1.37,1.4847,Kepler,2016,Kepler
Kepler-240 b,Kepler-240,291.1587635,40.7502108,15.953,14.113,13.464,4985.0,4.626,0.41,1.91,2.77,-1.37,4.144495,1.37,2.368,Kepler,2014,Kepler
Kepler-240 c,Kepler-240,291.1587635,40.7502108,15.953,14.113,13.464,4985.0,4.626,0.41,1.91,2.77,-1.37,7.953528,2.2,2.598,Kepler,2014,Kepler
Kepler-620 b,Kepler-620,291.1593939,51.3348228,14.844,13.591,13.284,6155.0,4.33,0.03,3.02,1.16,-1.27,12.91375431,3.32,6.042,Kepler,2016,Kepler
WASP-48 b,WASP-48,291.1623865,55.4730273,11.647,10.627,10.372,5920.0,4.03,-0.12,7.9,2.0,-1.6,2.14363,16.8135,3.1539349,SuperWASP,2011,WASP
Kepler-1901 b,Kepler-1901,291.1643587,45.3183061,15.097,13.756,13.31,5696.0,4.519,0.14,0.7,2.4,-2.4,3.484129906,1.47418907,1.356,Kepler,2021,Kepler
